All,Сите
"Apply Coupon","Примени купон"
"Successful! Test again?","Успешно! Тестирај повторно?"
"Connection failed! Test again?","Врската се прекина! Тестирај повторно?"
"Enable Search Recommendations","Овозможи препорачани пребарувања"
"When you enable this option your site may slow down.","Кога ќе ја овозможите оваа опција вашата продавница може да стане побавна."
"Enable Search Suggestions","Овозможи сугестивни пребарувања"
"Related search terms","Поврзани термини за пребарување"
"Did you mean","Дали мислевте"
Store,Продавница
Results,Резултати
Uses,Користења
"Suggested Term","Сугериран термин"
Yes,Да
"--Please Select--","--Ве молиме изберете--"
Configuration,Конфигурација
"Books, Music and Magazines","Книги, Музика и Списанија"
Done,Завршено
"'Action Details - #' .","'Детали за акцијата - #' ."
Details,Детали
"View Details","Види детали"
Summary,Преглед
Status,Статус
Error,Грешка
"Action Details - #","Детали за акцијата - #"
"You created the order.","Ја креиравте нарачката."
"Please choose a payment method.","Ве молиме изберете начин на плаќање."
"Credit Card Type","Број на кредитната картичка"
"Please Select","Ве молиме изберете"
"Credit Card Number","Број на кредитната картичка"
"Place Order","Направи нарачка"
Enabled,Овозможено
Title,Наслов
"New Order Status","Нов статус на нарачката"
Orders,Нарачки
Amounts,Суми
Bestsellers,Најпродавани
"Most Viewed Products","Најмногу видени продукти"
"New Customers","Нови купувачи"
Customer,Купувач
Guest,Гостин
Items,Продукти
Total,Вкупно
Average,Просек
Views,Прегледи
Tax,Данок
Shipping,Испорака
"Images (.gif, .jpg, .png)","Слики (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Медија (.avi, .flv, .swf)"
"All Files","Сите датотеки"
"Reset to Default","Ресетирај на предодредено"
"What is this?","Што е ова?"
"Save Account","Зачувај профил"
"My Account","Мојот профил"
"Account Information","Информации за профилот"
"User Name","Корисничко име"
"First Name",Име
"Last Name",Презиме
Email,Емаил
"New Password","Нова лозинка"
"Password Confirmation","Потврди лозинка"
"Your Password","Вашата лозинка"
Refresh,Освежи
Clear,Исчисти
"Inventory Stock Status","Статус на залихи"
"No change","Нема промена"
Disable,Оневозможи
Enable,Овозможи
Delete,Избриши
Save,Зачувај
"-- Please Select --","-- Ве молиме изберете --"
"Date From","Датум од"
"Date To","Датум до"
"Delete %1 '%2'","Избриши %1 '%2'"
"Delete %1","Избриши %1"
"Delete Store","Избриши Продавница"
"Save Store","Зачувај Продавница"
"New Web Site","Нов веб сајт"
"Edit Store","Измени продавница"
"New Store","Нова продавница"
"Store Information","Информации за продавницата"
"Web Site","Веб сајт"
Name,Име
Code,Код
Disabled,Оневозможено
"Web Site Information","Информации за веб сајтот"
"Default Store","Главна продавница"
"Set as Default","Дефинирај како главна"
Stores,Продавници
"Create Website","Креирај веб сајт"
"Create Store","Креирај продавница"
Home,Дома
"Are you sure you want to do this?","Дали сте сигурни дека сакате да го направете ова?"
"Add New Image","Додади нова слика"
"Reset Filter","Ресетирај филтер"
Search,Барај
Any,"Било кое"
"All Countries","Сите држави"
From,Од
To,До
"[ deleted ]","[ избришено ]"
"Select All","Селектирај ги сите"
"Add New","Додади нов"
Export,Извоз
Submit,Поднеси
"You have logged out.","Се одјавивте."
"Access Denied.","Пристапот е одбиен."
"You need more permissions to do this.","Потребна ви е дозвола за да го правите ова."
"You saved the design change.","Ги зачувавте измените на дизајнот."
System,Систем
"Manage Stores","Менаџирај продавници"
"Something went wrong. Please try again.","Се појави грешка. Ве молиме обидете се повторно."
"This store cannot be deleted.","Оваа продавница неможе да се избрише."
"You deleted the store.","Ја избришавте продавницата."
"New ","Нов "
"All Stores","Сите продавници"
"Last 24 Hours","Последните 24 часа"
"Last 7 Days","Последните 7 дена"
"Current Month","Тековен месец"
Order,Нарачка
"Order #%1","Нарачка #%1"
"Next steps","Следни чекори"
"previous page","претходна страна"
"Welcome, please sign in","Добредојдовте, ве молиме најавете се"
Username,"Корисничко име"
"user name","корисничко име"
Password,Лозинка
password,лозинка
"Sign in","Најави се"
"Last Orders","Последни нарачки"
"Last Search Terms","Последни пребарувани термини"
"Top Search Terms","Топ пребарувани термини"
"Sign Out","Одјави се"
"About the calendar","За календарот"
"Go Today","Оди денес"
Previous,Претходно
Next,Следно
Time,Време
Hour,Час
Minute,Минута
Catalog,Каталог
"No records found.","Нема пронајдени записи."
Images,Слики
"Big Image","Голема слика"
"Additional Settings","Дополнителни сетинзи"
"records found","пронајдени записи"
selected,избрани
"per page","по страна"
"Previous page","Претходна страна"
"of %1","од %1"
"Next page","Следна страна"
"Export to:","Експорт во:"
"Unselect All","Деселктирај ги сите"
"Select Visible","Селектирај видливи"
"Unselect Visible","Деселектирај видливи"
Loading...,Вчитување...
"Allow everything","Дозволи се"
Marketing,Маркетинг
Content,Содржина
Elements,Елементи
Schedule,Распоред
Settings,Поставки
Attributes,Атрибути
"Other Settings","Други поставки"
"Data Transfer","Пренос на податоци"
Tools,Алатки
Currency,Валута
Communications,Комуникации
"Sender Email","Емаил на испраќач"
"Sender Name","Име на испраќач"
"Customer Support","Корисничка подршка"
"Allow Countries","Дозволи држави"
Timezone,"Временска зона"
"First Day of Week","Прв ден во неделата"
"Weekend Days","Викенд денови"
"Store Name","Име на продавница"
"Store Phone Number","Телефонски број на продавницата"
Country,Држава
Region/State,Регион/State
"ZIP/Postal Code","Поштенски код"
City,Град
"Street Address",Улица
"VAT Number","Даночен број"
Security,Безбедност
Description,Опис
Tags,Ознаки
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Страната не е пронајдена</p>"
failed,неуспешно
successful,успешно
"Please correct the password.","Ве молиме корегирајте ја лозинката."
"Are you sure you want to continue?","Дали сте сигурни дека сакате да продолжете?"
"Save and Continue Edit","Зачивај и продолжи да изменуваш"
"Use Default","Користи предодредено"
Active,Активен
Inactive,Неактивен
"Applies To","Се однесува на"
Position,Позиција
"This rule no longer exists.","Правилото повеќе не постои."
"You deleted %1 record(s).","Избришавте %1 запис/и."
"Please enter a name.","Ве молиме внесете име."
"-- None --","-- Нема --"
Visibility,Видливост
"Add Rule","Додадете правило"
"Save for later use.","Зачувај за подоцна."
"Display on Shopping Cart","Покажи во кошничка"
"Skip Order Review","Прескокни преглед на нарачка"
Phone,Телефон
"First name is too long.","Името е предолго."
"Last name is too long.","Презимето е предолго."
"Street address is required.","Улицата е задолжителна."
"Street address is too long.","Улицата е премногу долга."
Select...,Селектирај...
"Order ID","Нарачка ID"
Amount,Сума
Month,Месец
Year,Година
"Incorrect payment method.","Неточен начин на плаќање."
"some error","некоја грешка"
"Payment Information","Информации за плаќање"
"* Required Fields","* Задолжителни полиња"
"Billing Address","Адреса за плаќање"
Company,Фирма
Address,Адреса
"Zip/Postal Code","Поштенски код"
"-- Select --","-- Избери --"
"Delete Option","Избриши опција"
"What are you looking for?","Што барате?"
"Use Default Value","Користи предодрена вредност"
Together,Заедно
Separately,Разделено
"Please specify product option(s).","Ве молиме дефинирајте оција/ии на продуктот."
"The options you selected are not available.","Опциите кои ги избравте не се достапни."
"The required options you selected are not available.","Задолжителните опции кои ги избравте не се достапни."
"Please select all required options.","Ве молиме изберете ги сите задолжителни опции."
"We can't add this item to your shopping cart right now.","Во моментот неможеме да го додадеме продуктот во кошничката."
Percent,Процент
"Add Selected Products","Додади ги селектираните продукти"
"Add Option","Додади опција"
"New Option","Нова опција"
"Option Title","Наслов на опцијата"
"Default Title","Предодреден наслов"
Required,Задолжително
"Default Quantity","Предодредена количина"
Quantity:,Количина:
"Choose a selection...","Одбери селекција..."
"There are no products in this option.","Нема продукти во оваа опција."
Default,Предодредено
Ordered,Порачено
Invoiced,Фактурирано
Canceled,Откажено
"Regular Price","Регуларна цена"
"As low as",Најниско
"Go back to product details","Назад кон деталите на продуктот"
"Customize and Add to Cart","Прилагодете и додадете во кошничка"
"In stock","На залиха"
"Out of stock","Нема на залиха"
Message:,Порака:
"Product Name","Име на продуктот"
"Qty Invoiced","Кол. фактурирано"
"Qty Shipped","Кол. испорачено"
Always,Секогаш
"After number of attempts to login","После број на обиди за најавување"
"Incorrect CAPTCHA","Внесениот код е погрешен"
"Incorrect CAPTCHA.","Внесениот код е погрешен."
"Please enter the letters and numbers from the image","Ве молиме внесете ги буквите и броевите од сликата"
"Reload captcha","Нов код"
"Please type the letters and numbers below","Ве молиме внесте го кодот"
"Number of Unsuccessful Attempts to Login","Број на неуспешни обиди за најава"
Day,Ден
from,од
to,до
"Add Product","Додади продукт"
label,ознака
"Save Attribute","Зачувај атрибут"
"Delete Attribute","Избриши атрибут"
Website,"Веб страна"
"Use in Search","Користи во пребарување"
"Visible in Advanced Search","Видливо во напредно пребарување"
"Comparable on Storefront","Споредливо во продавницата"
Gallery,Галерија
Visible,Видливо
Comparable,Споредливо
"Close Window","Затвори го прозорецот"
"New Product","Нов продукт"
"Save & Edit","Зачивај & Измени"
"Save & New","Зачувај & Ново"
"Save & Duplicate","Зачивај & Дуплирај"
"Save & Close","Зачувај & Затвори"
Change,Промени
"Create Category","Креирај категорија"
"Category Name","Име на категорија"
"Last Notified","Последно известен"
"Add New Option","Додади нова опција"
"Import Options","Увези опции"
Import,Увоз
"Default Values","Предодредени вредности"
"Related Products","Поврзани продукти"
"Name in %1","Име во %1"
"Change Status","Прмени статус"
"New Category","Нова категорија"
"Inc. Tax","Со ДДВ"
"Go to Home Page","Оди на почетната страна"
"Products Comparison List","Листа на продукти за споредба"
"New Products from %1","Нови продукти од %1"
"New Products","Нови продукти"
"%1 - Special Products","%1 - Специјални продукти"
"Click for price","Кликни за цена"
Categories,Категории
"You saved the product.","Го зачувавте продуктот."
"You cleared the comparison list.","Ги отстранивте продуктите од листата за споредба."
"You removed product %1 from the comparison list.","Го отстранивте продуктот %1 од листата за споредба."
"1 item","1 продукт"
"%1 items","%1 продукти"
"Are you sure you want to remove this item from your Compare Products list?","Дали сте сигурни дека сакате да го отстраните овој продукт од листата за споредба?"
"Are you sure you want to remove all items from your Compare Products list?","Дали сте сигурни дека сакате да ги отстраните сите продукти од листата за споредба?"
"Invalid attribute %1","Невалиден атрибут %1"
Grid,Мрежа
List,Листа
"Product is not loaded","Продуктот не е вчитан"
"Cannot delete category with id %1","Неможе да се избрише категоријата со id %1"
"-- Please Select a Category --","-- Ве молиме изберете категорија --"
"-- Please select --","-- Ве молиме изберете --"
Center,Центар
Category,Категорија
"%1 and above","%1 и погоре"
"Some of the selected item options are not currently available.","Некои од избраните опции на продуктот не се достапни во моментот."
"Could not save Prices.","Неможе да се зачуваат цените."
message,порака
"Customer Group","Група на купувачи"
"Add Selected","Додади ги селектираните"
"Custom options let customers choose the product variations they want.","Преододредените опции му дозволуваат на купувачот да избере варијанти од продуктот што му се допаѓаат."
"Max Characters","Макс. карактери"
"This item has weight","Овој продукт има тежина"
"This item has no weight","Овој продукт нема тежина"
"Related Products, Up-Sells, and Cross-Sells","Related Products, Up-Sells, и Cross-Sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Поврзаните продукти се покажуваат на купувачите како дополнение на продуктот што го гледаат."
"Add Related Products","Додади поврзани продукти"
name,име
Groups,Групи
"Manage Stock","Менаџирај залиха"
"Minimum Qty Allowed in Shopping Cart","Минимална кол. дозволена во кошничката"
"Maximum Qty Allowed in Shopping Cart","Максимална кол. дозволена во кошничката"
"Stock Availability","Достапност на залиха"
"In Stock","На залиха"
"Out of Stock","Нема на залиха"
"Remove Product From Websites","Отстрани го продуктот од вебсајтот"
"Item Price","Цена на продуктот"
"Delete image","Избриши слика"
Hidden,Скриено
"Buy %1 for: ","Купи %1 за: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Купи %1 за %2 секоја и <strong class=""benefit"">зачувај<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Купи %1 за %2 секоја"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Го додадовте продуктот %1 во <a href=""%2"">листата за споредба</a>."
"Shop By",Филтри
"Shopping Options","Филтрирај по"
"Compare Products","Спореди продукти"
"Print This Page","Испринти ја оваа страница"
"Remove Product","Отстрани продукт"
"Add to Wish List","Додади во листа на желби"
"You have no items to compare.","Немате продукти за споредба."
"Remove This Item","Отстрани го овој продукт"
Compare,Спореди
"Clear All","Исчисти сè"
Prev,Пред
"We can't find products matching the selection.","Неможеме да пронајдеме продукт што одговара на изборот."
"Learn More","Дознај повеќе"
"Add to Compare","Спореди продукт"
"Items %1-%2 of %3","Продукти %1-%2 од %3"
"%1 Item","%1 Продукт"
"%1 Items","%1 Продукти"
Show,Прикажи
"Sort By","Сортирај по"
"Set Ascending Direction","Постави растечки"
"Set Descending Direction","Постави опаѓачки"
"View as","Види како"
"More Information","Повеќе информации"
OK,"Во ред"
Adding...,"Се додава..."
Added,Додадено
remaining,останува
"too many",премногу
Inventory,Залиха
"Recently Viewed/Compared Products","Последно видени/споредени продукти"
"All products","Сите продукти"
"New products","Нови продукти"
"Number of Products per Page","Број на продукти по страна"
"Number of Products to Display","Број на продукти за приказ"
"Select Product...","Селектирај продукт..."
"Select Category...","Селектирај категорија..."
"Recently Viewed Products","Последно видени продукти"
"List of Products Recently Viewed by Visitor","Листа на продукти последно видени од посетител"
"Number of Products to display","Број на продукти за приказ"
"Add to Wishlist","Додади во листа на желби"
"Recently Compared Products","Последно споредени продукти"
"List of Products Recently Compared by Visitor","Листа на продукти последно споредени од посетител"
"Include in Menu","Вклучи во менито"
"Delete selected items?","Избриши ги селектираните продукти?"
"Delete items","Избриши продукти"
"Change status","Промени статус"
"Add To Cart","Во кошничка"
"Add To Compare","Спореди продукт"
"Learn more","Дознај повеќе"
"Recently Viewed","Последно видени"
Open,Отвори
Closed,Затвори
"%1 is required.","%1 е задолжително."
"Select Category","Одбери категорија"
Hrs,Часови
Mins,Минути
Sec,Секунди
Days,Денови
"Category ID","Категорија ID"
Start,Почеток
End,Крај
"Minimum Qty","Минимална кол."
"This product is out of stock.","Продуктот не е повеќе на залиха."
"Some of the products are out of stock.","Некои од продуктите не се повеќе на залиха."
"Allow Qty Below 0","Дозволи кол. под 0"
"Unable to remove Stock with id ""%1""","Неможе да се отстрани Залихата со id ""%1"""
"Unable to remove Stock Status for product %1","Неможе да се отстрани Статусот на залиха од продуктит %1"
"Stock Status","Статус на залиха"
"Only %1 left","Само %1 останат/и"
"Product availability","Достапност на продуктот"
"Stock Options","Опции на залихата"
"Index stock","Индексирај залиха"
(Allow),(Дозволи)
(Deny),(Одбиј)
"Display Product Prices","Покажи цена на продуктите"
"You cannot add ""%1"" to the cart.","Неможете да додадете ""%1"" во кошничката."
"All Customer Groups","Сите групи на купувачи"
Allow,Дозволи
Deny,Одбиј
"Allow Adding to Cart","Дозволи додавање во кошничка"
"Save and Apply","Зачивај и примени"
"Unknown action.","Непозната акција."
Priority,Приоритет
"Scheduled Changes","Закажи промени"
"Update Information","Ажурирај информација"
"Schedule Update","Закажи ажирирање"
"Update Name","Ажирирај име"
"Save as a New Update","Зачувај како ново ажурирање"
"Delete the Update","Избриши го ажурирањето"
"Catalog Advanced Search","Напредно пребарување"
"Advanced Search Results","Резултати од напредното пребарување"
"Search Weight","Барај тежина"
Relevance,Релевантност
"Search results for: '%1'","Резултати од пребарувањето за: '%1'"
"%1 and greater","%1 и поголем"
"up to %1","до %1"
"Search Settings","Поставки за пребарување"
"Advanced Search","Напредно пребарување"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 продукт</strong> е пронајден користејќи ги следните параметри"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 продукти</strong> се пронајдени користејќи ги следните параметри"
"We can't find any items matching these search criteria.","Неможеме да пронајдеме продукти за избраните критериуми."
"Modify your search.","Измени го твоето барање."
"Don't see what you're looking for?","Неможеш да го најдеш тоа што го бараш?"
"Your search returned no results.","Не се пронајдени резултати за вашето барање."
"Popular Search Terms","Популарни пребарувани термини"
View/Edit,Види/Измени
Preview,Преглед
"Sort Products By","Сортирај ги продуктите по"
"Remove Product from Update","Отстрани го продуктот од Ажурирање"
"The product will be removed from the update and all scheduled changes will be lost.","Продуктот ќе биде отрстранет од ажурирањата и сите закажани промени ќе бидат изгубени."
Path,Патека
"My Cart (1 item)","Моја кошничка (1 продукт)"
"My Cart (%1 items)","Моја кошничка (%1 продукти)"
"My Cart","Моја кошничка"
"For delivery questions.","За прашања за испораката."
"Customer is already registered","Купувачот е веќе регистриран"
"We cannot configure the product.","Неможеме да го конфигурираме продуктот."
"You used coupon code ""%1"".","Го искористи кодот на купонот ""%1""."
"You canceled the coupon code.","Го откажавте кодот на купонот."
"We cannot apply the coupon code.","Неможеме да го примениме кодот на купонот."
"We can't remove the item.","Неможеме да го отстраниме продуктот."
"%1 was updated in your shopping cart.","%1 е ажуриран во вашата кошничка."
Checkout,Нарачка
"Page not found.","Страната не е пронајдена."
"Payment Method","Начин на плаќање"
"Display number of items in cart","Покажи број на продукти во кошничката"
" item"," продукт"
" items"," продукти"
"The customer address is not valid.","Адресата на купувачот не е валидна."
"Invalid shipping method","Невалиден начин на испорака"
"There are more than one shipping addresses.","Има повеќе од една адреса за испорака."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Мора да го потврдите вашиот профил. Ве молиме проверете го вашиот емаил за линк за потврда или <a href=""%1"">кликнете овде</a> за да добиете нов линк."
Error!,Грешка!
"Apply Discount Code","Примени код за попуст"
"Enter discount code","Внеси код за попуст"
"Apply Discount","Примени попуст"
"Cancel Coupon","Откажи го купонот"
"Continue Shopping","Продолжи со купување"
"Clear Shopping Cart","Исчисти ја кошничката"
"Update Shopping Cart","Ажурирај ја кошничката"
"Update Cart","Ажурирај ја кошничката"
"You have no items in your shopping cart.","Немате продукти во кошничката."
"Click <a href=""%1"">here</a> to continue shopping.","Кликнете <a href=""%1"">овде</a> да продолжите со купување."
"Estimate Tax","Пресметај данок"
"Estimate Shipping and Tax","Пресметај испорака и данок"
"Order #","Нарачка #"
"Proceed to Checkout","Заврши ја нарачката"
"Your order number is: %1.","Вашиот број на нарачка е: %1."
"Your order # is: <span>%1</span>.","Вашата нарачка # е: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Ви испративме емаил за потврда на нарачката и повеќе информации."
"Payment Transaction Failed Reminder","Потсетник за неуспешна трансакцијата за плаќање"
"Payment Transaction Failed","Трансакцијата за плаќање е неуспешна"
"Checkout Type","Наичин на порачување"
Customer:,Купувач:
Total:,Вкупно:
"Billing Address:","Адреса за плаќање:"
"Shipping Address:","Адреса за испорака:"
"Shipping Method:","Начин на испорака:"
"Payment Method:","Начин на плаќање:"
"Date & Time:","Датум & Време:"
"Sign In","Најави се"
"Email Address","Емаил адреса"
"Forgot Your Password?","Ја заборавивте вашата лозинка?"
"My billing and shipping address are the same","Мојата адреса за плаќање и испорака се исти"
Update,Ажирирај
"Save in address book","Зачувај во адресар"
"Estimated Total","Пресметано вкупно"
"You can create an account after checkout.","Можеш да направиш профил после завршувањето на нарачката."
"You already have an account with us. Sign in or continue as guest.","Имате регистрирано профил кај нас. Најавете се или продолжете како гостин."
Login,"Најави се"
"Items in Cart","Продукти во кошничката"
"Item in Cart","Продукти во кошничката"
"View and Edit Cart","Види и измени кошничка"
"See Details","Види детали"
"Options Details","Детали за опции"
"Cart Subtotal",Вкупно
"No Payment method available.","Нема достапни начини за плаќање."
"You can track your order status by creating an account.","Можете да го следите статусот на нарачката со регистрирање на профил."
"Forgot an Item?","Заборавивте продукт?"
"Edit Your Cart","Измени ја кошничката"
"Ship Here","Испорачај овде"
"Ship To:","Испорачај на:"
edit,измени
"Shipping Address","Адреса за испорака"
"New Address","Нова адреса"
"Order Summary","Преглед на нарачката"
"Provided Zip/Postal Code seems to be invalid.","Дадениот поштенски код е невалиден."
" Example: "," Пример: "
"Field ","Поле "
" is required."," е задолжително."
"Are you sure you would like to remove this item from the shopping cart?","Дали сте сигурни дека сакате да го отстраните овој продукт од вашата кошничка?"
"Review & Payments","Преглед и плаќање"
"Select a new payment method","Избери нов начин на плаќање"
"Save Address","Зачувај адреса"
"Display Billing Address On","Покажи ја адресата за плаќање на"
"Order Total",Вкупно
"We'll send your order confirmation here.","Овде ќе ви испратиме потврда за нарачката."
Payment,Плаќање
"Not yet calculated","Не пресметано"
"Thank you for your purchase!","Ви благодариме што купувате кај нас!"
"Show Content as","Прикажи содржина како"
"Terms & Conditions","Правила и услови"
"Enable Terms and Conditions","Овозможи правила и услови"
Created,Креирано
Modified,Изменето
"Delete Folder","Избриши папка"
"Edit Page","Измени страна"
"New Page","Нова страна"
Pages,Страни
"Page Title","Наслов на страна"
"You saved the page.","Ја зачувавте страната."
"Could not delete the page: %1","Неможе да се избрише страната: %1"
View,Види
"Save Page","Зачувај страна"
"Delete Customer","Избриши купувач"
"Company Name:","Име на компанија:"
"Company Email:","Емаил на фирмата:"
"Street Address:",Улица:
"ZIP/Postal Code:","Поштенски код:"
"Phone Number:","Телефонски број:"
"Email Address:","Емаил адреса:"
"First Name:",Име:
"Last Name:",Презиме:
"Cannot delete company with id %1","Неможе да се избрише фирмата со id %1"
"Cannot delete structure with id %1","Неможе да се избрише структурата со id %1"
"Cannot delete team with id %1","Неможе да се избрише тимот со id %1"
"Invalid login or password.","Невалидно корисничко име или лозинка."
test,тест
"Phone Number","Телефонски број"
"You have no other address entries in your address book.","Немате дополнителни адреси во вашиот адресар."
"Create an Account","Креирај Профил"
"Dear %name,","Почитувани %name,"
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Вашиот профил е активен. Можете да се најавите на нашата <a href=""%customer_url"">веб продавница</a>."
"When you sign in to your account, you will be able to:","Кога ќе бидете најавени, ќе имате можност:"
"Account Information (View)","Информации за профилот (види)"
"View orders","Види нарачки"
Comment,Коментар
ZIP,"Поштенски код"
"My Orders","Мои нарачки"
Updated,Ажурирано
Purchased,Купено
"Cannot delete history with id %1","Неможе да се избрише историјата со id %1"
"Order # %1","Нарачка # %1"
"Cancel the Order","Откажи ја нарачката"
"This is a required field.","Ова поле е задолжително."
Date,Датум
"Updated By","Ажурирано од"
"All Payment Methods","Сите начини на плаќање"
"All Enabled Payment Methods","Сите овозможени начини на плаќање"
"Available Payment Methods","Достапни начини на плаќање"
"Applicable Payment Methods","Применливи начини на плаќање"
"Payment Methods","Начини на плаќање"
"Save Config","Зачувај поставка"
Add,Додади
"Delete File","Избриши датотека"
"Base currency","Основна валута"
"Display default currency","Прикажи предодредена валута"
title,наслов
Optional,Незадолжително
